Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
146,342;401;1403,7;11110305;175515,1;69792;3161248;723216;38534;4846;2547,5;449;4196,5;449;1798;24986;0;449;1606549,4;49,5;2048;149;49,5;0;49,5;47734;0;0;0;49,5
147,736;935,3;1069;11334045;176970,1;68792;3442427;736840;41984;4746;1798;949;1748;11643;12941;26335,5;1998;449;1701354,6;149,5;2397,5;49,5;8344;149;5396;46534;2398;0;149,5;499
149,13;601,3;1403,3;11432882;371899,1;68091;4263119;753800;39234;4946;1948;749;2098;449;2797,5;29085;449;199;1726965,4;49,5;2497,5;99;99,5;49,5;99;47534;0;99;0;199,5
150,523;668;668;10727305;171911,7;69942;3024522,8;713976;39234;5745;2847;749;1448,5;399;1748,5;28835,5;299;299;1691429,4;0;2597,5;0;99;0;0;45984;0;0;0;0
151,917;668;935,3;10582662;164120,3;69741;2996757,3;704528;37934;5195,5;2098;549;1148,5;99,5;998,5;28935,5;49,5;399;1593237,4;49,5;2697,5;0;0;0;49,5;43934;0;0;0;49,5
153,311;401;734,7;10213962;159646,5;70292;3055925,3;707624;38534;6045;2098;399;1098,5;299;599;24786;0;449;1534810,6;0;2797;99;49,5;99,5;49,5;38284;0;0;0;49,5
154,705;668,3;1537;10629528;165334;67690;3141450,8;708984;37134,5;4995,5;2148;649;999;549;449;26535;0;99,5;1552453,4;99,5;2248;99,5;49,5;49,5;0;34184;0;0;0;0
156,098;1069,3;935,7;10876498;161526,5;67090;3057514,8;709544;40334;5345,5;2297,5;549;499;149,5;349,5;26436;149,5;499;1598544;99,5;2147,5;149;49,5;0;99,5;27785;0;0;0;49,5
157,492;735;1470,3;11557598;157521,6;68241;2949824;722856;39084;4846;1598,5;749;1048,5;349;699;29086;0;199;1417882,6;49,5;2547,5;99;0;99,5;49,5;24586;0;0;0;99,5
158,886;735;1069;6932175,5;96359,4;68491;1876490,6;739160;36034,5;5545,5;1948;549;949;499;549;25435,5;0;449;776005,3;0;2447,5;0;149;0;0;9892,5;0;49,5;0;99,5
160,279;334;534,3;2478560;33134;67791;550002,7;797536;32735;4146;1998;399;549;549;349;23986;99,5;99;179190;99;2348;0;0;0;99,5;2048;49,5;0;0;49,5
161,673;200,3;333,7;829552;14890;66990;93013,7;864696;33134,5;4446,5;2247,5;449;849;249;749;25935,5;0;0;52384,5;0;3297;199;49,5;0;49,5;349;0;0;0;0
163,067;200,3;467,7;538260;13690,5;72693;18521,5;784152;35884,5;4246;1748,5;699;249,5;149;299;26986;149,5;149;28627,3;49,5;3197;0;149,5;99,5;99;99;0;0;0;49,5
164,461;400,7;601,3;485684;12741;66841;4058,8;774280;35434,5;3546,5;2048;549;848,5;249;249;26436;49,5;0;25511,3;49,5;2547,5;0;0;0;0;199;0;0;0;0
165,854;267,3;334;488512;13541;66991;2985,3;758760;33285;4696;2397,5;449;749;149;399;27436;0;0;24921,7;0;2247,5;49,5;0;49,5;0;0;0;0;0;0
167,248;400,7;601,3;490224;12441;68241;1844,7;779944;35234,5;5146;1548,5;749;449;199;249;24136,5;49,5;99;25932,5;99;3297;0;99,5;0;0;99;0;49,5;0;0
168,642;334;467,7;485484;12291;71493;2515,8;763952;32885;4995,5;1548;449;499;99,5;299;26686;0;199;23237;99,5;2847;0;49,5;149,5;149;0;0;0;0;0
170,035;267;400,7;501924;14240;69992;1475,7;770304;38334;4946;1948;349;649;299;249;24186;49,5;0;22058,5;0;3097;0;99,5;49,5;49,5;0;0;0;0;0
171,429;200,3;534,3;479936;12241,5;70092;1878,2;770232;38934;4446;2447,5;349;649;549;848,5;25136;99,5;149,5;23153;99;3047,5;0;49,5;0;149,5;99;0;0;0;49,5
172,823;267,3;334;471672;12041,5;69692;1173,7;769248;35734,5;4196;2097,5;349;599;99,5;249;25686,5;0;49,5;21721,5;0;2847,5;0;0;49,5;0;0;0;0;0;0
174,217;200,3;334;493152;11542;70242;1307,8;775704;36634;4646;2597,5;649;399;0;549;24236,5;0;149;23321,7;49,5;1798;0;0;49,5;0;0;0;0;0;0
